date,bdi_value,bdi_open,bdi_high,bdi_low,bdi_volume,bdi_change_pct,daily_change_pct,rolling_7d_avg,rolling_30d_avg,rolling_90d_avg,above_long_avg,is_spike,is_drop,is_outlier,year,month,quarter,weekday,source,data_type,granularity
2021-02-16,1495.0,1495.0,1495.0,1495.0,0.0,9.6,9.6041,1348.14,1553.53,1416.06,True,True,False,False,2021,2,1,Tuesday,investing_bdi_csv,freight_index,daily
2021-02-17,1756.0,1756.0,1756.0,1756.0,0.0,17.46,17.4582,1410.86,1564.57,1412.56,True,True,False,False,2021,2,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-02-18,1770.0,1770.0,1770.0,1770.0,0.0,0.8,0.7973,1477.14,1575.3,1408.92,True,False,False,False,2021,2,1,Thursday,investing_bdi_csv,freight_index,daily
2021-02-19,1698.0,1698.0,1698.0,1698.0,0.0,-4.07,-4.0678,1533.57,1578.37,1405.08,True,False,False,False,2021,2,1,Friday,investing_bdi_csv,freight_index,daily
2021-02-22,1709.0,1709.0,1709.0,1709.0,0.0,0.65,0.6478,1590.14,1576.63,1402.18,True,False,False,False,2021,2,1,Monday,investing_bdi_csv,freight_index,daily
2021-02-23,1727.0,1727.0,1727.0,1727.0,0.0,1.05,1.0532,1645.57,1572.57,1400.34,True,False,False,False,2021,2,1,Tuesday,investing_bdi_csv,freight_index,daily
2021-02-24,1709.0,1709.0,1709.0,1709.0,0.0,-1.04,-1.0423,1694.86,1567.67,1399.26,True,False,False,False,2021,2,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-02-25,1700.0,1700.0,1700.0,1700.0,0.0,-0.53,-0.5266,1724.14,1564.6,1398.9,True,False,False,False,2021,2,1,Thursday,investing_bdi_csv,freight_index,daily
2021-02-26,1675.0,1675.0,1675.0,1675.0,0.0,-1.47,-1.4706,1712.57,1561.97,1399.32,True,False,False,False,2021,2,1,Friday,investing_bdi_csv,freight_index,daily
2021-03-01,1651.0,1651.0,1651.0,1651.0,0.0,-1.43,-1.4328,1695.57,1559.0,1400.32,True,False,False,False,2021,3,1,Monday,investing_bdi_csv,freight_index,daily
2021-03-02,1673.0,1673.0,1673.0,1673.0,0.0,1.33,1.3325,1692.0,1555.9,1402.5,True,False,False,False,2021,3,1,Tuesday,investing_bdi_csv,freight_index,daily
