event_time_utc,capture_utc,message_type,mmsi,ship_name,imo,call_sign,latitude,longitude,sog_knots,speed_category,is_moving,cog_degrees,true_heading,navigational_status,nav_status_name,destination,eta,vessel_type,vessel_type_name,vessel_category,port_guess,source,data_type,granularity,year,month,day,hour
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563882000,,,,1.16754,103.71674,6.2,Transit,True,296.7,293.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563132900,ESSENCE,,,1.27583,103.77961,0.6,Slow / manoeuvring,True,310.7,279.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StandardClassBPositionReport,232057588,,,,1.26408,103.81342,0.0,Stationary,False,360.0,511.0,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,566209000,HAI SOON 3,,,1.23796,103.73657,0.0,Stationary,False,161.8,257.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StaticDataReport,563041171,ENV 3,,,1.21079,103.77575,,Unknown,False,,,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,564759000,I MOLA,,,1.22287,103.77492,0.1,Stationary,False,0.0,511.0,8.0,Under way sailing,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563708000,VALIANT III,,,1.20075,103.74269,0.0,Stationary,False,360.0,511.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,566753000,HAI SOON 33,,,1.21139,103.86387,7.8,Transit,True,52.5,35.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,564406000,ELBE,9705665.0,9V9645,1.21985,103.71987,,Unknown,False,,,,Not reported,ASPP,"{'Day': 27, 'Hour': 10, 'Minute': 35, 'Month': 3}",80.0,Tanker,Tanker,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,518100291,SSE VALENCIA,,,1.24102,103.91574,0.0,Stationary,False,360.0,511.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563152400,KOTA KARIM,,,1.26218,103.83823,0.0,Stationary,False,130.7,313.0,5.0,Moored,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
