year,period,reporter_code,reporter_iso,reporter_country,flow_code,flow_direction,partner_code,partner_iso,partner_country,hs_code,commodity,aggregation_level,is_leaf,transport_mode_code,transport_mode,qty_unit_code,quantity,qty_estimated,net_weight_kg,weight_estimated,cif_value_usd,fob_value_usd,trade_value_usd,is_outlier,trade_balance_usd,decade,source,data_type,granularity,trade_value_trillion,yoy_growth_pct
2015,2015,68,BOL,Bolivia (Plurinational State of),M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,38416906.43,35437987.5,38416906.43,False,98315678.87,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,136732585.3,136732585.3,False,98315678.87,2010,un_comtrade,trade_flow,annual,0.0001,
2015,2015,70,BIH,Bosnia Herzegovina,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,140034205.0,,140034205.0,False,-120524623.0,2010,un_comtrade,trade_flow,annual,0.0001,
2015,2015,70,BIH,Bosnia Herzegovina,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,19509582.0,19509582.0,False,-120524623.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,72,BWA,Botswana,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,123326589.813,,123326589.81,False,-122830433.76,2010,un_comtrade,trade_flow,annual,0.0001,
2015,2015,72,BWA,Botswana,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,496156.051,496156.05,False,-122830433.76,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,76,BRA,Brazil,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,1710988850.0,1575381251.0,1710988850.0,False,4013758692.0,2010,un_comtrade,trade_flow,annual,0.0017,
2015,2015,76,BRA,Brazil,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,5724747542.0,5724747542.0,False,4013758692.0,2010,un_comtrade,trade_flow,annual,0.0057,
2015,2015,84,BLZ,Belize,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,8988719.0,,8988719.0,False,-8904279.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,84,BLZ,Belize,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,84440.0,84440.0,False,-8904279.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,90,SLB,Solomon Isds,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,46359906.0,,46359906.0,False,-46339570.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,90,SLB,Solomon Isds,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,20336.0,20336.0,False,-46339570.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,96,BRN,Brunei Darussalam,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,31399360.0,,31399360.0,False,-31394066.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,96,BRN,Brunei Darussalam,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,5294.0,5294.0,False,-31394066.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,100,BGR,Bulgaria,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,76894636.0,,76894636.0,False,896600037.0,2010,un_comtrade,trade_flow,annual,0.0001,
2015,2015,100,BGR,Bulgaria,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,973494673.0,973494673.0,False,896600037.0,2010,un_comtrade,trade_flow,annual,0.001,
2015,2015,104,MMR,Myanmar,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,22927990.43,,22927990.43,False,934672618.0300001,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,104,MMR,Myanmar,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,957600608.455,957600608.46,False,934672618.0300001,2010,un_comtrade,trade_flow,annual,0.001,
2015,2015,108,BDI,Burundi,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,17432153.0,,17432153.0,False,-17416035.0,2010,un_comtrade,trade_flow,annual,0.0,
